lat,lng,addr,zip,title,timeStamp,district,,e
40.135788,-75.5076694,BRIDGE ST & TOWPATH,19453,Traffic: VEHICLE ACCIDENT -,12/11/2015 15:48,UPPER PROVIDENCE,,1
40.095859,-75.417219,N GULPH RD & 1ST AVE,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 19:22,UPPER MERION,,1
40.095171,-75.414699,1ST AVE & FREEDOM DR,19406,EMS: HEAD INJURY,12/11/2015 13:26,UPPER MERION,,1
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD,19406,EMS: UNCONSCIOUS SUBJECT,12/11/2015 10:34,UPPER MERION,,1
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD,19406,EMS: RESPIRATORY EMERGENCY,12/11/2015 22:48,UPPER MERION,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: FALL VICTIM,12/11/2015 7:17,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: CARDIAC EMERGENCY,12/11/2015 8:44,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: FALL VICTIM,12/11/2015 17:31,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,Fire: FIRE ALARM,12/11/2015 20:37,LOWER PROVIDENCE,,1
40.1305332,-75.4049379,EGYPT RD & WEDGEWOOD WAY,19403,EMS: NAUSEA/VOMITING,12/11/2015 15:02,LOWER PROVIDENCE,,1
40.1305332,-75.4049379,EGYPT RD & WEDGEWOOD WAY,19403,Traffic: VEHICLE ACCIDENT -,12/11/2015 16:03,LOWER PROVIDENCE,,1
40.0903967,-75.3957327,MALL BLVD & GODDARD BLVD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 17:11,UPPER MERION,,1
40.1098472,-75.3937796,BEIDLER RD & SARATOGA RD,19406,EMS: GENERAL WEAKNESS,12/11/2015 6:27,UPPER MERION,,1
40.0850736,-75.3886248,GULPH RD & W DEKALB PIKE,19406,Fire: ELECTRICAL FIRE OUTSIDE,12/11/2015 8:21,UPPER MERION,,1
40.130215,-75.3824469,BERKLEY RD & VARNUM RD,19403,Fire: FIRE ALARM,12/11/2015 15:26,WEST NORRITON,,1
40.0883549,-75.3821004,DEKALB PIKE & ALLENDALE RD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 19:20,UPPER MERION,,1
